video_path,actual_volume (ml),min,max,mean,std,median,SEM,CV,diameter (cm),zoom
videos/1x/1.0-0ml.mov,0,0.0722248479148188,0.1570127205440926,0.1102033704070611,0.01726522934885779,0.10709348744805905,0.0014097000732275415,15.66669811012563,1.0,1x
videos/1x/1.0-1ml.mov,1,0.8064109909831201,1.0213785703013418,0.9193525158158813,0.05236619615353511,0.937531292672362,0.004275682011555206,5.695986604992604,1.0,1x
videos/1x/1.0-2ml.mov,2,1.69926351834646,1.9226101795890531,1.7334013195153655,0.032946011956188494,1.725815172357101,0.002690030611743189,1.9006569099301096,1.0,1x
videos/1x/1.0-3ml.mov,3,1.8022248793814075,2.3886973563942173,2.2796724441588267,0.07252922597323802,2.2895433952753805,0.005921986502448327,3.1815634811518057,1.0,1x
videos/1x/1.25-0ml.mov,0,0.0834921597168239,0.3092783973159358,0.26720579766737673,0.03230473768835728,0.27356643075202836,0.0026376707870310774,12.089834116762272,1.25,1x
videos/1x/1.25-1ml.mov,1,0.6381915749813565,0.9580108559877176,0.7373866792455182,0.043159940929649795,0.7343786009346169,0.003523994420210168,5.853094739087277,1.25,1x
videos/1x/1.25-2ml.mov,2,1.243564327485596,1.6507273782769427,1.423720291031479,0.06532963448192394,1.416745313194916,0.005334142318774897,4.588656556590404,1.25,1x
videos/1x/1.25-3ml.mov,3,2.1837533603832555,2.700831983487625,2.4758169770649063,0.06047197878098926,2.4803915053100285,0.004937516391661173,2.442506022908006,1.25,1x
videos/1x/1.25-4ml.mov,4,2.1074092608497064,3.3818739274893073,3.131948627929348,0.1411863687458997,3.1466007336568302,0.011527818735462826,4.507940120309172,1.25,1x
videos/1x/1.25-5ml.mov,5,2.3491742071217896,3.90140173080866,3.5462008262517855,0.2727494728516501,3.556730898718067,0.02226990120332119,7.691314908973642,1.25,1x
videos/1x/2.0-0ml.mov,0,0.1449439279748717,1.1175780877727437,0.5990949571389033,0.20935846588997087,0.5119733162312865,0.017094047158743516,34.94579004467067,2.0,1x
videos/1x/2.0-5ml.mov,5,3.225479041503198,4.2157906134654315,3.9568638169079753,0.17675409468530687,3.977407435665148,0.01443191139755286,4.4670249688660855,2.0,1x
videos/1x/2.0-10ml.mov,10,8.652809581988597,9.50672621273601,8.987988731984169,0.14482972500645436,8.987554958176712,0.011825297528447277,1.6113696770788235,2.0,1x
videos/1x/2.0-15ml.mov,15,12.973262421026908,14.334985478762604,13.97196950619086,0.19212106693238545,13.998224843387298,0.015686619427447954,1.3750464231063364,2.0,1x
videos/1x/2.0-20ml.mov,20,18.642503132956527,20.083739244809923,19.70892583816801,0.17191759490066216,19.709714094224154,0.014037012843770853,0.872282925575422,2.0,1x
videos/3x/1.0-0ml.mov,0,0.0249309055888325,0.0965511452711008,0.058468968659425115,0.011977118020335882,0.0604913393109503,0.0009779275912972104,20.48457206437348,1.0,3x
videos/3x/1.0-1ml.mov,1,0.8913486761607861,1.0616665369569651,1.0005887525501338,0.022921508110349632,1.0067399702034385,0.0018715333001807619,2.2908020954594095,1.0,3x
videos/3x/1.0-2ml.mov,2,1.8823977914110948,2.016713572129666,1.9656852654368868,0.03403106476555783,1.9791155596494772,0.0027786248026407975,1.7312570513669796,1.0,3x
videos/3x/1.0-3ml.mov,3,2.9698223546024884,3.309062851579921,3.150660045094564,0.0462949050705,3.1433820641283274,0.00377996317044369,1.4693716366695635,1.0,3x
videos/3x/1.25-0ml.mov,0,0.0763193736720136,0.1651637359834024,0.1290327119415302,0.017918527043812436,0.13309532207776176,0.0014630416066533849,13.886809611451106,1.25,3x
videos/3x/1.25-1ml.mov,1,0.8402267780434238,1.116111520698997,1.0675720509835218,0.05076630100072622,1.0806189810313866,0.004145051119344076,4.755304426896223,1.25,3x
videos/3x/1.25-2ml.mov,2,2.0611153372208877,2.276832298091978,2.201730355652134,0.03482926236988963,2.20082190839463,0.0028437973641249593,1.5819040819634564,1.25,3x
videos/3x/1.25-3ml.mov,3,3.0553729317345506,3.2195160263976588,3.0939653597634464,0.029680898460359824,3.0829672084941215,0.0024234352111746804,0.9593157973374699,1.25,3x
videos/3x/1.25-4ml.mov,4,3.7873389825394663,3.9772654828354583,3.8547014519564287,0.05318581437934145,3.8323421085826475,0.004342603559458898,1.3797648155695,1.25,3x
videos/3x/1.25-5ml.mov,5,4.651195593213816,4.9551220558282365,4.7268060811499435,0.07017240377905754,4.695720979523031,0.005729552776108032,1.484562780328528,1.25,3x
videos/3x/2.0-0ml.mov,0,0.1689492688984699,3.275949008135745,1.935269945948747,0.9414855873871586,1.8448919504888617,0.07687197630943468,48.648799065889726,2.0,3x
videos/3x/2.0-5ml.mov,5,4.678245525734331,5.337976330118335,5.163344019657635,0.10403534814126547,5.175210346597977,0.008494450605296891,2.0148831405613703,2.0,3x
videos/3x/2.0-10ml.mov,10,9.9007457048176,10.152010054337769,10.020953784910303,0.048466378802666195,10.024177327562274,0.003957263258232496,0.48365035747043933,2.0,3x
videos/3x/2.0-15ml.mov,15,15.85005745252858,17.091371967363877,16.72596224370338,0.23127389561953837,16.79326553858796,0.018883434503118888,1.3827240086387451,2.0,3x
videos/3x/2.0-20ml.mov,20,21.54431679097522,22.429897387188003,21.817105691265635,0.13903730190158972,21.810883958267297,0.011352348162406403,0.6372857328974327,2.0,3x
